Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,0
5.424134000,0,0,1,0
5.524461200,0,1,1,0
5.624791400,0,0,1,0
5.725082500,0,1,1,0
5.825312400,0,0,1,0
5.825362100,0,0,0,0
5.925517700,0,1,0,0
6.025690000,0,0,0,0
6.026624100,0,0,1,0
6.026698200,0,0,0,0
6.163004900,0,1,0,0
6.263276200,0,0,0,0
6.363555700,0,1,0,0
6.463762000,0,0,0,0
6.563968000,0,1,0,0
6.664151100,0,0,0,0
6.764348400,0,1,0,0
6.864536500,0,0,0,0
6.964726600,0,1,0,0
7.064904800,0,0,0,0
7.065840200,0,0,1,0
7.065908300,0,0,0,0
7.105558600,0,0,1,0
7.205832000,0,1,1,0
7.306093900,0,0,1,0
7.306159900,0,0,0,0
7.406329000,0,1,0,0
7.506510700,0,0,0,0
7.606706100,0,1,0,0
7.706882500,0,0,0,0
7.807062500,0,1,0,0
7.907242900,0,0,0,0
7.908131900,0,0,1,0
7.908202300,0,0,0,0
12.601708300,0,0,0,0
